암호화요양기호,요양기관명,종별코드,종별코드명,설립구분코드,설립구분코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원링크,개설일자,일반입원실상급병상수,일반입원실일반병상수,성인중환자병상수,소아중환자병상수,신생아중환자병상수,분만실병상수,수술실병상수,응급실병상수,물리치료실병상수,정신과폐쇄상급병상수,정신과폐쇄일반병상수,격리병실병상수,무균치료실병상수,Latitude,Longitude
JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjNDEjJDEjJDgjJDgz,광주한국병원,11,종합병원,12,개인,240000,광주,240003,광주서구,,61967,"광주광역시 서구 월드컵4강로 223,  (쌍촌동)",062-380-3000,,19830418,2,260,0,0,0,0,4,16,28,0,0,1,0,35.1560803,126.8684485
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE0ODEjODEjJDEjJDYjJDgz,서울적십자병원,11,종합병원,3,공립,110000,서울,110016,종로구,,3181,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",02-2002-8000,,19770401,5,269,12,0,0,2,6,11,10,0,0,6,0,37.5671402,126.9670566
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE4MzIjNTEjJDEjJDYjJDgz,서울특별시 동부병원,11,종합병원,3,공립,110000,서울,110007,동대문구,,2584,"서울특별시 동대문구 무학로 124, (용두동)",02-920-9307,,19790701,3,183,9,0,0,1,3,10,6,0,0,6,0,37.5753425,127.031536
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjE0ODEjODEjJDEjJDYjJDgz,서울특별시보라매병원,11,종합병원,3,공립,110000,서울,110008,동작구,,7061,"서울특별시 동작구 보라매로5길 20, (신대방동)",02-870-2114,,19911116,43,634,39,0,14,2,14,43,10,0,14,11,0,37.4937715,126.9242962
JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNDEjJDEjJDQjJDgz,강원특별자치도삼척의료원,11,종합병원,3,공립,320000,강원,320700,삼척시,,25920,"강원특별자치도 삼척시 오십천로 418-0, 삼척의료원",033-572-1141,,19830701,12,126,6,0,0,3,2,20,14,0,0,4,0,37.4403025,129.1636663
JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE4MzIjNDEjJDEjJDQjJDgz,속초보광병원,11,종합병원,11,의료법인,320000,강원,320300,속초시,,24853,"강원특별자치도 속초시 중앙로 11-0, 속초보광병원",033-639-8500,,20100405,14,196,11,0,0,0,4,10,35,0,70,0,0,38.1979798,128.5783566
JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjE4MzIjNjEjJDEjJDQjJDgz,영도병원,11,종합병원,12,개인,210000,부산,210007,부산영도구,,49036,"부산광역시 영도구 태종로 85, (대교동2가)",051-414-8101,,19960629,8,200,10,0,0,0,3,9,23,0,0,1,0,35.0916832,129.0410036
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ4OSQyNjE0ODEjNDEjJDEjJDgjJDgz,의료법인인봉의료재단뉴고려병원,11,종합병원,11,의료법인,310000,경기,312300,김포시,,10086,"경기도 김포시 김포한강3로 283, 뉴고려병원 (장기동)",031-998-8129,,20090413,7,260,25,0,0,0,6,20,20,0,0,13,0,37.6409053,126.6602394
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ2MiQ0NjE0ODEjODEjJDEjJDIjJDgz,인천적십자병원,11,종합병원,3,공립,220000,인천,220007,인천연수구,연수동,21935,"인천광역시 연수구 원인재로 263, (연수동)",032-899-4000,,19850510,0,112,8,0,0,0,3,10,5,0,0,2,0,37.4184536,126.6895849
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQyNjE0ODEjNTEjJDEjJDYjJDgz,현대병원,11,종합병원,12,개인,310000,경기,311500,남양주시,,12013,"경기도 남양주시 진접읍 봉현로 21, ()",031-574-9118,,20090901,2,349,39,0,0,0,7,20,17,0,0,18,0,37.7155057,127.1797196
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQzNjE4MzIjNDEjJDEjJDgjJDgz,온누리병원,11,종합병원,12,개인,220000,인천,220005,인천서구,왕길동,22616,"인천광역시 서구 완정로 199, (왕길동)",032-567-6200,,20111018,2,193,0,0,0,0,3,14,28,0,0,0,0,37.6028029,126.654361
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQ0NjEwMDIjODEjJDEjJDYjJDgz,의료법인 명인의료재단 화홍병원,11,종합병원,11,의료법인,310000,경기,310601,수원권선구,,16630,"경기도 수원시 권선구 호매실로90번길 98, (호매실동)",031-278-0119,,20200421,4,180,18,0,0,0,6,20,23,0,0,0,0,37.2601464,126.9637259
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjODEjJDEjJDIjJDgz,삼성서울병원,1,상급종합,7,사회복지법인,110000,서울,110001,강남구,,6351,"서울특별시 강남구 일원로 81, (일원동, 삼성의료원)",02-3410-2114,,19940613,135,1565,115,15,59,10,56,73,29,1,16,38,25,37.4881193,127.0849885
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQ0NjEwMDIjNTEjJDEjJDYjJDgz,의료법인서울효천의료재단 에이치플러스양지병원,11,종합병원,11,의료법인,110000,서울,110004,관악구,,8779,"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)",02-1877-8875,,19800620,9,253,21,0,0,1,6,21,10,0,0,6,0,37.48413,126.9325195
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ2MiQ0NjEwMDIjNjEjJDEjJDgjJDgz,뉴대성병원,11,종합병원,9,재단법인,310000,경기,310300,부천시,,14577,"경기도 부천시 부천로 91, ,부흥로373번길18, 부흥로377(기존디에스병원A동) (심곡동)",032-610-1111,,19840308,13,239,20,0,0,1,8,10,8,0,0,0,0,37.4921883,126.7838653
JDQ4MTYyMiM2MSMkMSMkNiMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEyMjIjODEjJDEjJDIjJDgz,익산병원,11,종합병원,11,의료법인,350000,전북,350300,익산시,,54543,"전라북도 익산시 무왕로 969, (신동)",063-840-9114,,20010307,32,245,11,0,0,0,5,20,26,0,0,0,0,35.9618237,126.9666872
JDQ4MTYyMiM2MSMkMSMkNiMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,전라북도 군산의료원,11,종합병원,3,공립,350000,전북,350100,군산시,,54105,"전라북도 군산시 의료원로 27, (지곡동, 군산의료원)",063-472-5000,,19831217,30,336,20,0,0,4,6,20,32,0,0,2,0,35.9547096,126.7124478
JDQ4MTYyMiM2MSMkMSMkNiMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,전주고려병원,11,종합병원,12,개인,350000,전북,350402,전주덕진구,,54915,"전라북도 전주시 덕진구 안덕원로 367, (산정동)",063-240-7300,,20050111,12,267,0,0,0,0,4,10,22,0,0,0,0,35.8433319,127.1733374
JDQ4MTYyMiM2MSMkMSMkNiMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE0ODEjNjEjJDEjJDgjJDgz,의료법인석천재단고창병원,11,종합병원,11,의료법인,350000,전북,350001,고창군,,56436,"전라북도 고창군 고창읍 화신1길 9, ()",063-560-5600,,19880709,6,252,0,0,0,2,3,10,15,0,0,0,0,35.4363539,126.6932956
JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE4MzIjNzEjJDEjJDgjJDgz,광주보훈병원,11,종합병원,3,공립,240000,광주,240004,광주광산구,,62284,"광주광역시 광산구 첨단월봉로 99,  (산월동)",062-602-6114,,19870326,16,504,26,0,0,2,8,16,36,0,0,3,0,35.2077914,126.8494861
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQzNjEwMDIjNjEjJDEjJDgjJDgz,의료법인대인의료재단 다니엘종합병원,11,종합병원,11,의료법인,310000,경기,310300,부천시,,14513,"경기도 부천시 중동로 361, 다니엘종합병원 (약대동)",032-670-0001,,20040611,18,172,44,0,0,0,3,10,16,0,0,0,0,37.5122452,126.7694774
JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNDEjJDEjJDQjJDgz,광주기독병원,11,종합병원,9,재단법인,240000,광주,240005,광주남구,,61661,"광주광역시 남구 양림로 37,  (양림동)",062-650-5000,,19830329,41,473,23,0,8,4,8,24,20,0,0,29,0,35.1366889,126.9120838
JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNjEjJDEjJDAjJDgz,의료법인행촌의료재단 해남종합병원,11,종합병원,11,의료법인,360000,전남,360021,해남군,,59024,"전라남도 해남군 해남읍 해남로 45, ()",061-536-4116,,19830401,25,257,14,0,0,1,3,10,34,0,0,3,0,34.5716889,126.6126326
JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQzNjE4MzIjNjEjJDEjJDAjJDgz,의료법인한국의료재단 순천한국병원,11,종합병원,11,의료법인,360000,전남,360400,순천시,,57991,"전라남도 순천시 우명길 42,  (연향동)",061-740-5000,,19980917,12,222,9,0,0,0,3,12,14,0,0,0,0,34.9477128,127.5122851
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQzNjEwMDIjNjEjJDEjJDAjJDgz,의료법인일심의료재단우리병원,11,종합병원,11,의료법인,310000,경기,312800,포천시,,11174,"경기도 포천시 소흘읍 호국로 661, 661",031-542-0222,,20000308,6,190,10,0,0,0,4,17,17,0,0,8,0,37.8274135,127.147912
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEyMjIjNTEjJDEjJDIjJDgz,순천향대학교 부속 서울병원,11,종합병원,4,학교법인,110000,서울,110014,용산구,,4401,"서울특별시 용산구 대사관로 59, (한남동)",02-709-9114,,19780223,39,619,28,0,8,13,13,27,10,1,20,4,6,37.5337071,127.0043068
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEwMDIjNzEjJDEjJDgjJDgz,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),1,상급종합,4,학교법인,110000,서울,110012,성북구,,2841,"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",1577-0083,,19740325,42,853,73,0,20,4,23,43,11,0,34,15,19,37.5870416,127.0265402
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjEwMDIjNTEjJDEjJDIjJDgz,고려대학교의과대학부속안산병원,1,상급종합,4,학교법인,310000,경기,311101,안산단원구,,15355,"경기도 안산시 단원구 적금로 123, (고잔동)",031-1577-7516,,19860101,14,698,50,0,25,8,17,34,9,1,15,8,8,37.319305,126.8252025
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjE0ODEjNTEjJDEjJDIjJDgz,의료법인 서명의료재단 세명병원,11,종합병원,11,의료법인,370000,경북,371000,경산시,,38619,"경상북도 경산시 경안로 208, (중방동)",053-819-8800,,20030925,12,204,0,0,0,0,5,16,24,0,71,0,0,35.8265616,128.7372945
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ2MiQyNjEwMDIjNjEjJDEjJDQjJDgz,혜민병원,11,종합병원,12,개인,110000,서울,110023,광진구,,5056,"서울특별시 광진구 자양로 85, (자양동)",02-2049-9000,,19851113,18,187,13,0,0,0,5,10,8,0,0,0,0,37.5351884,127.0834641
JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQ0NjEwMDIjNDEjJDEjJDQjJDgz,동아대학교병원,1,상급종합,4,학교법인,210000,부산,210006,부산서구,동대신동3가,49201,"부산광역시 서구 대신공원로 26, (동대신동3가)",051-240-2400,,19900303,48,824,83,0,17,7,18,39,29,2,16,4,2,35.1201678,129.0178125
JDQ4MTYyMiM2MSMkMSMkMiMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQzNjEwMDIjNDEjJDEjJDgjJDgz,당진종합병원,11,종합병원,12,개인,340000,충남,340900,당진시,,31764,"충청남도 당진시 반촌로 5-15,  (시곡동)",041-357-0100,,20110722,21,225,13,0,0,0,4,20,17,0,0,0,0,36.9043414,126.6842676
JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjEwMDIjNzEjJDEjJDgjJDgz,근로복지공단 창원병원,11,종합병원,5,특수법인,380000,경남,380705,창원성산구,,51524,"경상남도 창원시 성산구 창원대로 721, (중앙동)",055-280-7619,,19791126,5,244,5,0,0,0,4,6,58,0,0,1,0,35.2184881,128.6714125
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjEyMjIjNDEjJDEjJDQjJDgz,의료법인 박애의료재단 박애병원,11,종합병원,11,의료법인,310000,경기,311200,평택시,,17909,"경기도 평택시 평택2로20번길 3, (평택동)",031-652-2121,,19820702,12,181,10,0,0,0,5,11,22,0,0,0,0,36.9931207,127.0889877
JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEyMjIjNjEjJDEjJDAjJDgz,한림대학교부속 춘천성심병원,11,종합병원,4,학교법인,320000,강원,320500,춘천시,,24253,"강원특별자치도 춘천시 삭주로 77, 77",033-240-5000,,19841210,19,333,52,0,0,4,9,30,20,0,0,2,0,37.883744,127.7396063
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQzNjE4MzIjNjEjJDEjJDQjJDgz,의료법인백송의료재단 굿모닝병원,11,종합병원,11,의료법인,310000,경기,311200,평택시,,17874,"경기도 평택시 중앙로 338, (합정동)",031-5182-7700,,20020401,54,338,30,0,0,1,6,28,16,0,0,0,0,36.9906242,127.1205242
JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjE0ODEjNTEjJDEjJDYjJDgz,의산의료재단 강릉고려병원,11,종합병원,11,의료법인,320000,강원,320100,강릉시,옥천동,25552,"강원특별자치도 강릉시 옥가로 30, (옥천동)",033-649-0100,,19910813,11,169,0,0,0,0,2,8,25,0,0,0,0,37.7589843,128.8997884
JDQ4MTYyMiM1MSMkMSMkOCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE4MzIjNTEjJDEjJDYjJDgz,의료법인 건명의료재단 중앙제일병원,11,종합병원,11,의료법인,330000,충북,330009,진천군,진천읍,27832,"충청북도 진천군 진천읍 중앙북로 36, 중앙제일병원",043-533-1711,,19990702,3,189,18,0,0,0,5,18,1,0,0,31,0,36.8585281,127.4405397
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQzNjE4MzIjNDEjJDEjJDQjJDgz,강동경희대학교의대병원,11,종합병원,4,학교법인,110000,서울,110002,강동구,,5278,"서울특별시 강동구 동남로 892, (상일동)",02-440-7114,,20060227,40,552,46,0,17,5,15,23,10,0,0,6,0,37.5511028,127.1696401
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQzNjEyMjIjNzEjJDEjJDgjJDgz,순천향대학교부속부천병원,1,상급종합,4,학교법인,310000,경기,310300,부천시,,14584,"경기도 부천시 조마루로 170, (중동)",032-621-5114,,20010129,49,737,59,0,24,6,19,30,7,0,0,19,9,37.4983912,126.7627375
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE0ODEjNTEjJDEjJDYjJDgz,연세대학교의과대학 강남세브란스병원,1,상급종합,4,학교법인,110000,서울,110001,강남구,,6273,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",02-2019-3114,,19830404,82,660,49,0,28,5,23,28,27,0,0,7,0,37.4925494,127.0465277
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQyNjEyMjIjNTEjJDEjJDYjJDgz,홍익병원,11,종합병원,12,개인,110000,서울,110020,양천구,신정동,7937,"서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)",02-2693-5555,,19930820,9,242,8,0,0,1,4,10,26,0,0,1,0,37.5284913,126.8636621
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQyNjEyMjIjODEjJDEjJDYjJDgz,성심의료재단강동성심병원,11,종합병원,11,의료법인,110000,서울,110002,강동구,,5355,"서울특별시 강동구 성안로 150, (길동)",02-2224-2114,,19861017,30,491,46,0,3,3,13,22,18,0,0,29,0,37.5361234,127.1352442
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEwMDIjNDEjJDEjJDQjJDgz,가톨릭대학교 은평성모병원,11,종합병원,4,학교법인,110000,서울,110015,은평구,,3312,"서울특별시 은평구 통일로 1021, (진관동)",02-1811-7755,,19610515,35,644,54,0,17,5,19,36,10,0,0,17,14,37.6335822,126.9161092
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQyNjEwMDIjNDEjJDEjJDgjJDgz,의료법인 청구성심병원,11,종합병원,11,의료법인,110000,서울,110015,은평구,,3330,"서울특별시 은평구 통일로 873, (갈현동)",02-350-3300,,19800128,2,176,6,0,0,0,3,12,18,0,0,16,0,37.621541,126.913578
JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE4MzIjNjEjJDEjJDQjJDgz,홍천아산병원,11,종합병원,9,재단법인,320000,강원,320013,홍천군,홍천읍,25131,"강원특별자치도 홍천군 홍천읍 산림공원1길 17, 17",033-430-5151,,19891106,4,122,7,0,0,0,2,10,10,0,0,2,0,37.6908415,127.8947876
JDQ4MTYyMiM2MSMkMSMkMiMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjEyMjIjNjEjJDEjJDgjJDgz,근로복지공단 대전병원,11,종합병원,3,공립,250000,대전,250002,대전대덕구,,34384,"대전광역시 대덕구 계족로 637,  (법동)",042-670-5419,,19910422,4,232,0,0,0,0,3,2,35,2,29,1,0,36.3685761,127.4285005
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjEwMDIjNjEjJDEjJDgjJDgz,의료법인덕산의료재단김천제일병원,11,종합병원,11,의료법인,370000,경북,370300,김천시,,39544,"경상북도 김천시 신음1길 12,  (신음동)",054-420-9300,,19980529,34,244,18,0,0,3,4,20,23,0,0,0,0,36.1354806,128.1190037
JDQ4MTYyMiM2MSMkMSMkNiMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNjEjJDEjJDAjJDgz,의료법인영경의료재단전주병원,11,종합병원,11,의료법인,350000,전북,350401,전주완산구,,54985,"전라북도 전주시 완산구 한두평3길 13, (중화산동2가, 전주병원)",063-220-7200,,20070110,24,251,9,0,0,0,3,20,26,0,0,0,0,35.8150738,127.1248037
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQ0NjEwMDIjODEjJDEjJDYjJDgz,강남병원,11,종합병원,12,개인,230000,대구,230002,대구동구,,41145,"대구광역시 동구 동촌로 207, 강남병원 (방촌동)",053-980-9000,,20030627,13,183,12,0,0,0,7,16,36,0,0,1,0,35.8831433,128.6632969
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjEwMDIjNTEjJDEjJDYjJDgz,분당서울대학교병원,1,상급종합,3,공립,310000,경기,310403,성남분당구,,13620,"경기도 성남시 분당구 구미로173번길 82, (구미동, 분당서울대학교병원)",031-787-2114,,20030415,57,1076,85,0,40,4,39,42,13,1,14,18,18,37.3520673,127.1231772
JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQzNjE0ODEjODEjJDEjJDYjJDgz,근로복지공단 순천병원,11,종합병원,3,공립,360000,전남,360400,순천시,,57947,"전라남도 순천시 조례1길 24, (조례동)",061-720-7575,,19850507,5,265,4,0,0,0,3,6,17,0,0,1,0,34.9609709,127.5251707
JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQzNjEyMjIjODEjJDEjJDIjJDgz,목포기독병원,11,종합병원,12,개인,360000,전남,360300,목포시,,58666,"전라남도 목포시 백년대로 303, (상동)",061-280-7500,,19970331,16,324,17,0,0,0,4,18,35,0,0,0,0,34.8044367,126.4206077
JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjE0ODEjNTEjJDEjJDYjJDgz,빛고을전남대학교병원,11,종합병원,3,공립,240000,광주,240005,광주남구,,61748,"광주광역시 남구 덕남길 80-0,  1동 (덕남동,전남대학교병원류마티스전문질환센터)",062-670-9421,,20131217,6,174,10,0,0,0,3,4,12,0,0,0,0,35.0951194,126.8968363
JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQyNjEyMjIjNTEjJDEjJDIjJDgz,의료법인청언의료재단 순천제일병원,11,종합병원,11,의료법인,360000,전남,360400,순천시,,57968,"전라남도 순천시 기적의도서관1길 3,  (조례동)",061-720-3500,,20080404,2,198,0,0,0,0,2,10,15,0,0,0,0,34.9549948,127.5241677
JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,광양사랑병원,11,종합병원,12,개인,360000,전남,360700,광양시,,57788,"전라남도 광양시 공영로 71,  (중동)",061-797-7000,,20010430,7,142,10,0,0,0,2,10,31,0,0,0,0,34.9361629,127.6969919
JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQyNjE4MzIjNjEjJDEjJDQjJDgz,빛가람종합병원,11,종합병원,12,개인,360000,전남,360200,나주시,,58323,"전라남도 나주시 정보화길 49-0, (빛가람동)",061-820-0820,,20200403,4,188,0,0,0,0,3,8,26,0,0,0,0,35.0245166,126.7991747
JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQ0NjE0ODEjNjEjJDEjJDgjJDgz,운암한국병원,11,종합병원,12,개인,240000,광주,240002,광주북구,,61266,"광주광역시 북구 북문대로 191,  (운암동)",062-608-8000,,20070822,7,210,0,0,0,0,4,10,43,0,0,0,0,35.1850968,126.8697433
JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQyNjE0ODEjNDEjJDEjJDgjJDgz,광주병원,11,종합병원,12,개인,240000,광주,240002,광주북구,,61171,"광주광역시 북구 면앙로139번길 51,  (두암동)",062-260-7100,,20010202,10,268,13,0,0,0,4,11,18,0,0,0,0,35.178873,126.9281686
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ2MiQyNjE0ODEjNzEjJDEjJDgjJDgz,강남베드로병원,11,종합병원,12,개인,110000,서울,110001,강남구,,6271,"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)",1544-7522,,20031219,11,158,0,0,0,0,7,2,8,0,0,15,0,37.4856105,127.0395828
JDQ4MTYyMiM2MSMkMSMkMiMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNjEjJDEjJDAjJDgz,재단법인 아산사회복지재단 부속 보령아산병원,11,종합병원,9,재단법인,340000,충남,340400,보령시,,33428,"충청남도 보령시 죽성로 136,  (죽정동)",041-930-5114,,19781230,14,211,8,0,0,0,2,10,8,0,0,0,0,36.3805692,126.6231779
JDQ4MTYyMiM2MSMkMSMkMiMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEyMjIjNjEjJDEjJDAjJDgz,충청남도 서산의료원,11,종합병원,3,공립,340000,충남,340600,서산시,,32001,"충청남도 서산시 중앙로 149,  (석림동)",041-689-7000,,19890321,5,249,10,0,0,0,4,20,15,0,0,5,0,36.7720607,126.4692974
